ID,Condition,Repetition,Targetindex,Targetposition(absolute),Targetsize(absolute),Timestamp(Teststart),Timestamp(Rep_load),Timestamp(clicked)
345,normal,0,12,"94, 372",40,1620677037.2937675,1620677037.3064518,1620677038.2210593
345,normal,1,61,"497, 387",40,1620677037.2937675,1620677038.2445118,1620677039.3252594
345,normal,2,81,"689, 315",40,1620677037.2937675,1620677039.3467288,1620677040.213247
